 [2014-10-11 12:38:52,607] [INFO ] (com.lin.clould.web.command.CommandFactory:48)  - NodeList Length : 5
 [2014-10-11 12:44:42,502] [INFO ] (com.lin.clould.web.command.CommandFactory:48)  - NodeList Length : 5
 [2014-10-11 12:44:42,689] [DEBUG] (org.apache.ibatis.logging.LogFactory:124)  - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
 [2014-10-11 12:44:42,701] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:44:42,701] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:44:42,702] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:44:42,702] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:44:42,703] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:44:42,703] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:44:42,703] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:44:42,704] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:44:42,704] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:44:42,704] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:44:42,704] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:44:42,705] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:44:42,784] [INFO ] (com.lin.clould.web.command.CommandFactory:97)  - DefaultViewPath : /WEB-INF/jsp/
 [2014-10-11 12:44:42,785] [INFO ] (com.lin.clould.web.FrontController:68)  - RequestURI :/main
 [2014-10-11 12:44:42,785] [INFO ] (com.lin.clould.web.command.CommandFactory:90)  - {defaultMethod=main, class=com.lin.clould.person.main.service.MainServiceImpl@1cac3fa}
 [2014-10-11 12:44:44,515] [INFO ] (com.lin.clould.web.FrontController:68)  - RequestURI :/bbs
 [2014-10-11 12:44:44,516] [INFO ] (com.lin.clould.web.command.CommandFactory:90)  - {defaultMethod=bbsList, class=com.lin.clould.person.bbs.service.BbsServiceImpl@a39de}
 [2014-10-11 12:44:44,570] [DEBUG] (org.apache.ibatis.transaction.jdbc.JdbcTransaction:129)  - Opening JDBC Connection
 [2014-10-11 12:44:45,780] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:378)  - Created connection 4738155.
 [2014-10-11 12:44:45,781] [DEBUG] (org.apache.ibatis.transaction.jdbc.JdbcTransaction:95)  - Setting autocommit to false on JDBC Connection [oracle.jdbc.driver.T4CConnection@484c6b]
 [2014-10-11 12:44:45,783] [DEBUG] (query.person.bbs.BbsSqlMapper.selectBBSListByMenuId:132)  - ooo Using Connection [oracle.jdbc.driver.T4CConnection@484c6b]
 [2014-10-11 12:44:45,785] [DEBUG] (query.person.bbs.BbsSqlMapper.selectBBSListByMenuId:132)  - ==>  Preparing: SELECT T1.* FROM BOARD T1 WHERE T1.MENU_ID = ? 
 [2014-10-11 12:44:45,948] [DEBUG] (com.lin.clould.repository.MybatisLogInterceptor:97)  - =====================================================================
 [2014-10-11 12:44:45,951] [DEBUG] (com.lin.clould.repository.MybatisLogInterceptor:98)  - sql : SELECT T1.*
		FROM BOARD T1
		WHERE T1.MENU_ID = '1'
 [2014-10-11 12:44:45,951] [DEBUG] (com.lin.clould.repository.MybatisLogInterceptor:99)  - =====================================================================
 [2014-10-11 12:44:45,952] [DEBUG] (query.person.bbs.BbsSqlMapper.selectBBSListByMenuId:132)  - ==> Parameters: 1(String)
 [2014-10-11 12:44:46,523] [DEBUG] (query.person.bbs.BbsSqlMapper.selectBBSListByMenuId:132)  - <==      Total: 1
 [2014-10-11 12:44:46,526] [DEBUG] (org.apache.ibatis.transaction.jdbc.JdbcTransaction:117)  - Resetting autocommit to true on JDBC Connection [oracle.jdbc.driver.T4CConnection@484c6b]
 [2014-10-11 12:44:46,526] [DEBUG] (org.apache.ibatis.transaction.jdbc.JdbcTransaction:85)  - Closing JDBC Connection [oracle.jdbc.driver.T4CConnection@484c6b]
 [2014-10-11 12:44:46,527] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:332)  - Returned connection 4738155 to pool.
 
